customer_id,customer_name,age,gender,city,region,category,quantity,unit_price,revenue
164,Customer_164,24,Male,Ahmedabad,West,Grocery,8,2206.6,17652.8
173,Customer_173,29,Female,Patna,East,Electronics,2,1276.33,2552.66
466,Customer_466,35,Male,Bhubaneswar,East,Sports,3,1894.48,5683.44
441,Customer_441,55,Other,Pune,West,Sports,19,4089.27,77696.13
254,Customer_254,46,Other,Chennai,South,Grocery,9,4772.47,42952.23
314,Customer_314,41,Male,Ahmedabad,West,Electronics,18,2989.41,53809.38
268,Customer_268,60,Male,Hyderabad,South,Electronics,14,3093.87,43314.18
139,Customer_139,52,Male,Chandigarh,North,Clothing,9,4002.64,36023.76
216,Customer_216,51,Other,Patna,East,Clothing,10,4237.37,42373.7
227,Customer_227,59,Male,Delhi,North,Grocery,16,1464.45,
234,Customer_234,25,Other,Mumbai,West,Grocery,14,2939.33,41150.62
289,Customer_289,,Male,Patna,East,Grocery,14,4040.53,56567.42
136,Customer_136,25,Other,Kolkata,East,Sports,15,503.78,7556.7
120,Customer_120,47,Female,Chennai,South,Sports,9,3350.86,30157.74
293,Customer_293,39,Other,Chandigarh,North,Sports,19,4887.78,92867.82
427,Customer_427,61,Female,Bhubaneswar,East,Sports,4,4863.86,19455.44
287,Customer_287,,Other,Chennai,South,Clothing,17,2307.25,39223.25
232,Customer_232,50,Male,Ahmedabad,West,Sports,5,1673.43,8367.15
452,Customer_452,24,Male,Chennai,South,Grocery,13,2541.52,33039.76
171,Customer_171,47,Male,Amritsar,North,Books,19,2793.87,53083.53
239,Customer_239,38,Other,Patna,East,Sports,6,2325.33,13951.98
18,Customer_18,,Female,Nagpur,Central,Sports,12,4399.67,52796.04
361,Customer_361,45,Female,Ahmedabad,West,Electronics,8,336.63,2693.04
84,Customer_84,53,Female,Nagpur,Central,Sports,11,1791.46,19706.06
448,Customer_448,49,Other,Bangalore,South,Clothing,11,3173.61,34909.71
32,Customer_32,29,Male,Chennai,South,Books,3,2995.42,8986.26
182,Customer_182,33,Female,Chandigarh,North,Grocery,15,3072.45,46086.75
367,Customer_367,18,Male,Bhopal,Central,Electronics,8,277.61,2220.88
392,Customer_392,55,Other,Chandigarh,North,Books,8,4871.2,38969.6
82,Customer_82,33,Male,Hyderabad,South,Sports,16,3247.22,51955.52
143,Customer_143,19,Female,Nagpur,Central,Sports,2,4993.0,9986.0
481,Customer_481,63,Male,Delhi,North,Sports,14,579.46,8112.44
217,Customer_217,57,Other,Nagpur,Central,Clothing,18,512.47,9224.46
25,Customer_25,40,Male,Chennai,South,Electronics,14,2084.96,29189.44
270,Customer_270,32,Male,Hyderabad,South,Electronics,18,1125.48,20258.64
211,Customer_211,63,Male,Nagpur,Central,Grocery,6,3978.8,23872.8
8,Customer_8,35,Other,Bangalore,South,Grocery,3,3065.2,9195.6
48,Customer_48,50,Female,Kolkata,East,Grocery,13,3413.61,44376.93
473,Customer_473,57,Other,Mumbai,West,Books,2,107.64,215.28
160,Customer_160,34,Other,Bangalore,South,Clothing,10,1674.21,
391,Customer_391,29,Female,Raipur,Central,Grocery,1,1628.44,1628.44
449,Customer_449,28,Male,Delhi,North,Sports,19,3834.19,72849.61
330,Customer_330,40,Female,Bangalore,South,Sports,1,2448.81,2448.81
259,Customer_259,41,Other,Amritsar,North,Sports,3,4590.36,13771.08
141,Customer_141,65,Other,Hyderabad,South,Sports,3,2407.42,7222.26
411,Customer_411,24,Female,Nagpur,Central,Grocery,2,1994.87,3989.74
418,Customer_418,43,Other,Bhopal,Central,Sports,2,2535.4,5070.8
372,Customer_372,30,Male,Pune,West,Books,18,3814.39,68659.02
137,Customer_137,33,Other,Bhopal,Central,Electronics,5,3945.54,19727.7
279,Customer_279,65,Male,Kolkata,East,Clothing,4,3747.05,14988.2
431,Customer_431,41,Other,Chennai,South,Sports,7,1406.19,9843.33
404,Customer_404,60,Male,Kolkata,East,Electronics,11,2260.82,24869.02
324,Customer_324,63,Other,Mumbai,West,Clothing,3,2907.87,8723.61
7,Customer_7,24,Female,Bangalore,South,Electronics,13,1425.97,18537.61
475,Customer_475,43,Other,Bhopal,Central,Books,8,440.21,3521.68
